link,date,resume,coverletter,marker
https://www.jobteaser.com/en/job-offers/6768648f-6574-486d-aa88-16dc5af6c3e0-sopra-steria-ingenieur-e-en-intelligence-artificielle-edition-de-logiciels-annecy,5/13/2025,20250513_171718_CV_Youssef.txt,20250513_171718_ML_Youssef.txt,ðŸŸ¨
,,,,
https://imt-atlantique.jobteaser.com/en/job-offers/215ed575-73c0-4884-a27f-c90ead1c3374-forvis-mazars-consultant-junior-data-analyst-audit-paris-septembre-2025-h-f?actionType=openApplicationFlow,5/13/2025,20250513_180230_CV_Youssef.txt,20250513_180230_ML_Youssef.txt,Sent
https://imt-atlantique.jobteaser.com/en/job-offers/3f993f2a-76bc-4bee-a9ae-70985bcc2400-kpmg-france-consultant-audit-it-conseil-it-fs-f-h,5/13/2025,20250513_180814_CV_Youssef.txt,20250513_180814_ML_Youssef.txt,Sent
https://imt-atlantique.jobteaser.com/en/job-offers/21436cad-262b-485a-b061-1cd3b9d9c4f7-pwc-france-consultant-junior-cio-advisory-cdi-h-f,5/13/2025,20250513_181708_CV_Youssef.txt,20250513_181708_ML_Youssef.txt,Sent
,,,,
,,,,
https://parrot-drones.talentview.io/jobs/4h6mwu?source=carriere&utm_source=carriere,2025-05-14,20250514_174431_CV_Youssef.txt,20250514_174431_ML_Youssef.txt,Sent
https://jobs.ashbyhq.com/harmattan-ai/7e77394d-8772-498f-995a-bc2ce6a31620?src=LinkedIn,2025-05-14,20250514_174926_CV_Youssef.txt,,Sent
https://jobs.ashbyhq.com/harmattan-ai/7e77394d-8772-498f-995a-bc2ce6a31620/application?src=LinkedIn,2025-05-14,20250514_180548_CV_Youssef.txt,,Sent
https://jobs.ashbyhq.com/harmattan-ai/7e77394d-8772-498f-995a-bc2ce6a31620/application?src=LinkedIn,2025-05-14,20250514_180920_CV_Youssef.txt,20250514_180920_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4174804566&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,2025-05-14,20250514_181447_CV_Youssef.txt,20250514_181447_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4221347515&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,2025-05-14,20250514_182616_CV_Youssef.txt,20250514_182616_ML_Youssef.txt,Sent
https://alliancewd.wd3.myworkdayjobs.com/renault-group-careers/job/Guyancourt/Data-Scientist-Spcialis-en-LLM-pour-la-Conception-Automobile_JOBREQ_50210022-1,2025-05-14,20250514_183943_CV_Youssef.txt,20250514_183943_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4222071104&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,2025-05-14,20250514_184856_CV_Youssef.txt,20250514_184856_ML_Youssef.txt,Sent
https://careers.stryker.com/fr/software-engineer-computer-vision-algorithms-automation/job/0C0F04E5C03341B8474D3BC64E616BC8?utm_source=Job%2Bboard&utm_medium=Linkedin,2025-05-14,20250514_185125_CV_Youssef.txt,20250514_185125_ML_Youssef.txt,Sent
https://careers.stryker.com/fr/software-engineer-computer-vision-algorithms-automation/job/0C0F04E5C03341B8474D3BC64E616BC8?utm_source=Job%2Bboard&utm_medium=Linkedin,2025-05-14,20250514_185350_CV_Youssef.txt,20250514_185350_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4213936188&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII&start=48,2025-05-14,20250514_190629_CV_Youssef.txt,20250514_190629_ML_Youssef.txt,Sent
https://careers.idemia.com/job/OSNY-Ing%C3%A9nieur-Recherche-Computer-Vision-IA-95520/1143276101/?utm_campaign=LinkedinJobPostings&utm_source=LinkedinJobPostings&applySourceOverride=LinkedIn,2025-05-19,20250519_175446_CV_Youssef.txt,20250519_175446_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4216830265&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,2025-05-19,20250519_180401_CV_Youssef.txt,20250519_180401_ML_Youssef.txt,Sent
https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4218084967&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,2025-05-19,20250519_181437_CV_Youssef.txt,20250519_181437_ML_Youssef.txt,Sent
https://www.welcometothejungle.com/fr/companies/galadrim/jobs/ingenieur-ia_paris?q=4243f1939abe9de66945c3c2ae7f2209&o=08b1168f-1295-4545-83c8-2bbfd001647a,2025-05-21,20250521_174019_CV_Youssef.txt,,Sent
https://www.welcometothejungle.com/fr/companies/galadrim/jobs/ingenieur-ia_paris?q=4243f1939abe9de66945c3c2ae7f2209&o=08b1168f-1295-4545-83c8-2bbfd001647a,2025-05-21,20250521_181422_CV_Youssef.txt,,Sent
,2025-05-21,20250521_182636_CV_Youssef.txt,,Sent
https://www.welcometothejungle.com/fr/companies/synetis/jobs/consultant-iam-amoa-junior-h-f_paris?q=4243f1939abe9de66945c3c2ae7f2209&o=e1588952-c2d1-4fb1-b077-65b2b9aa555a,2025-05-21,20250521_183553_CV_Youssef.txt,,Sent
https://www.welcometothejungle.com/fr/companies/mp-data/jobs/chef-de-projet-data-ia-h-f_montpellier_MD_obVZld0?q=4243f1939abe9de66945c3c2ae7f2209&o=e0d985ed-e010-413e-ab2f-b36fffb96121,2025-05-21,20250521_184201_CV_Youssef.txt,20250521_184201_ML_Youssef.txt,Sent
